seed,direction,variant,split,field_strength,balanced_accuracy,auc,macro_f1,accuracy,sensitivity,specificity,n,n_subjects
42,ADNI_to_NACC,ce_x,target,3T,0.6581901968998743,0.7432760787599496,0.66594684159774,0.7228682170542635,0.45714285714285713,0.8592375366568915,516,516
42,ADNI_to_NACC,ce_x,source_val,1.5T,0.6625386996904025,0.6625386996904026,0.6625,0.6666666666666666,0.5882352941176471,0.7368421052631579,36,36
42,ADNI_to_NACC,ce_x,source_test,1.5T,0.65625,0.7604166666666666,0.6571428571428571,0.6785714285714286,0.5,0.8125,28,28
42,ADNI_to_NACC,ce_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
42,ADNI_to_NACC,mixstyle_x,target,3T,0.7137494763301215,0.7845999162128194,0.7020163942315405,0.7209302325581395,0.6914285714285714,0.7360703812316716,516,516
42,ADNI_to_NACC,mixstyle_x,source_val,1.5T,0.6919504643962848,0.7120743034055728,0.6923076923076923,0.6944444444444444,0.6470588235294118,0.7368421052631579,36,36
42,ADNI_to_NACC,mixstyle_x,source_test,1.5T,0.71875,0.7552083333333334,0.7128205128205127,0.7142857142857143,0.75,0.6875,28,28
42,ADNI_to_NACC,mixstyle_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
42,ADNI_to_NACC,apic_v3_x,target,3T,0.6731881022203603,0.735969836614998,0.6761437141088317,0.7151162790697675,0.5428571428571428,0.8035190615835777,516,516
42,ADNI_to_NACC,apic_v3_x,source_val,1.5T,0.6486068111455108,0.7554179566563467,0.6317859952793077,0.6388888888888888,0.8235294117647058,0.47368421052631576,36,36
42,ADNI_to_NACC,apic_v3_x,source_test,1.5T,0.6979166666666667,0.7239583333333334,0.6781609195402298,0.6785714285714286,0.8333333333333334,0.5625,28,28
42,ADNI_to_NACC,apic_v3_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
42,NACC_to_ADNI,ce_x,target,1.5T,0.6801587301587302,0.7825396825396825,0.6770967741935483,0.7062937062937062,0.4603174603174603,0.9,143,143
42,NACC_to_ADNI,ce_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
42,NACC_to_ADNI,ce_x,source_val,3T,0.7682302771855011,0.8405117270788912,0.770048309178744,0.7941176470588235,0.6857142857142857,0.8507462686567164,102,102
42,NACC_to_ADNI,ce_x,source_test,3T,0.6971027216856892,0.7963125548726954,0.6985074626865672,0.7326732673267327,0.5882352941176471,0.8059701492537313,101,101
42,NACC_to_ADNI,mixstyle_x,target,1.5T,0.653968253968254,0.7515873015873016,0.654002574002574,0.6713286713286714,0.5079365079365079,0.8,143,143
42,NACC_to_ADNI,mixstyle_x,target,3T,0.75,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,3,3
42,NACC_to_ADNI,mixstyle_x,source_val,3T,0.7471215351812366,0.8469083155650319,0.7536231884057971,0.7843137254901961,0.6285714285714286,0.8656716417910447,102,102
42,NACC_to_ADNI,mixstyle_x,source_test,3T,0.7640474100087796,0.850307287093942,0.7768864085571445,0.8118811881188119,0.6176470588235294,0.9104477611940298,101,101
42,NACC_to_ADNI,apic_v3_x,target,1.5T,0.6637896825396825,0.7732142857142857,0.6492899104545714,0.6993006993006993,0.36507936507936506,0.9625,143,143
42,NACC_to_ADNI,apic_v3_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
42,NACC_to_ADNI,apic_v3_x,source_val,3T,0.755863539445629,0.823454157782516,0.7734658094681472,0.8137254901960784,0.5714285714285714,0.9402985074626866,102,102
42,NACC_to_ADNI,apic_v3_x,source_test,3T,0.6611062335381914,0.8467954345917471,0.6714214214214214,0.7425742574257426,0.4117647058823529,0.9104477611940298,101,101
43,ADNI_to_NACC,ce_x,target,3T,0.6847255969836615,0.7460745705906996,0.6715624651910317,0.689922480620155,0.6685714285714286,0.7008797653958945,516,516
