seed,direction,variant,present,auc,macro_f1,brier,ece,sensitivity,specificity,accuracy
43,adni_to_nacc,ce_only,True,0.8893681753771776,0.724574150803659,0.11056180136769032,0.09630319685545838,0.3870967741935484,0.9806201550387597,0.865625
43,adni_to_nacc,mixstyle,True,0.8928273735100442,0.7737428587589796,0.13086168835783854,0.11213066017791995,0.7419354838709677,0.8682170542635659,0.84375
43,adni_to_nacc,apis_only,True,0.8998916395765609,0.7805116383954298,0.11737707998429278,0.05662389049409994,0.7580645161290323,0.8695090439276486,0.8479166666666667
43,nacc_to_adni,ce_only,True,0.9110116828237632,0.6646159582401193,0.23795096043301578,0.20207377905323592,0.4429530201342282,0.9907407407407407,0.6731517509727627
43,nacc_to_adni,mixstyle,True,0.8973402933134476,0.8338362068965517,0.1294391894479237,0.060387633821937514,0.8322147651006712,0.8425925925925926,0.8365758754863813
43,nacc_to_adni,apis_only,True,0.9287223465075815,0.8461526654284793,0.11203611709669956,0.062025255326727646,0.8322147651006712,0.8703703703703703,0.8482490272373541
44,adni_to_nacc,ce_only,True,0.9016073462810147,0.6890041294535676,0.1925044670340325,0.12430256053598389,0.8924731182795699,0.6989664082687338,0.7364583333333333
44,adni_to_nacc,mixstyle,True,0.9053582840154484,0.7808405444992677,0.1051072730982141,0.0795316143090733,0.6881720430107527,0.8979328165374677,0.8572916666666667
44,adni_to_nacc,apis_only,True,0.8975577227640243,0.7876372664901379,0.10514618748930472,0.04807010963041747,0.7096774193548387,0.896640826873385,0.8604166666666667
44,nacc_to_adni,ce_only,True,0.9115709669400945,0.8242214217317951,0.13683669041818444,0.08291687088757427,0.7651006711409396,0.9074074074074074,0.8249027237354085
44,nacc_to_adni,mixstyle,True,0.9185309470544369,0.7460976091681486,0.18236183601740785,0.14897894734502604,0.5906040268456376,0.9629629629629629,0.7470817120622568
44,nacc_to_adni,apis_only,True,0.9422694506587125,0.8325225430021974,0.12445430311169996,0.050141865247506696,0.7449664429530202,0.9537037037037037,0.8326848249027238
