seed,direction,variant,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,n_subjects,BA_CI_lo,BA_CI_hi,best_epoch,config_hash
42,adni_to_nacc,ce_x,ok,0.7803825956489122,0.9064974576977578,0.7867800049395965,0.6344086021505376,0.9263565891472868,0.8697916666666666,0.10101432580443147,0.07130796320012056,960,0.7477671501208636,0.8120217554388597,15,fa34c1b7564c56bf1181a46c9fb55b4cf575f17b3bff18c7ac041b3423ab40fc
42,adni_to_nacc,mixstyle_x,ok,0.7937192631491206,0.9103039648801088,0.8004260846234623,0.6559139784946236,0.9315245478036176,0.878125,0.10055313852366769,0.08167123246498201,960,0.7634549262315579,0.8271703342502292,31,fa34c1b7564c56bf1181a46c9fb55b4cf575f17b3bff18c7ac041b3423ab40fc
42,adni_to_nacc,apic_v3_2_x,ok,0.8161623739268151,0.8971270595426634,0.7905960698269723,0.7473118279569892,0.8850129198966409,0.8583333333333333,0.12210189012000579,0.10281353941859891,960,0.7816303034091856,0.8469846628323747,35,fa34c1b7564c56bf1181a46c9fb55b4cf575f17b3bff18c7ac041b3423ab40fc
42,nacc_to_adni,ce_x,ok,0.8349137931034483,0.9209051724137931,0.8322635857937526,0.8448275862068966,0.825,0.8367346938775511,0.12253411007421276,0.082589551709942,196,0.7820150862068965,0.883405172413793,49,fa34c1b7564c56bf1181a46c9fb55b4cf575f17b3bff18c7ac041b3423ab40fc
42,nacc_to_adni,mixstyle_x,ok,0.7844827586206897,0.8576508620689655,0.7839262187088274,0.8189655172413793,0.75,0.7908163265306123,0.16629106389544424,0.11972527597313362,196,0.7269234913793104,0.8411637931034484,36,fa34c1b7564c56bf1181a46c9fb55b4cf575f17b3bff18c7ac041b3423ab40fc
42,nacc_to_adni,apic_v3_2_x,ok,0.8254310344827587,0.9137931034482759,0.8143939393939394,0.7758620689655172,0.875,0.8163265306122449,0.14115768102058507,0.09551741948401161,196,0.7643318965517241,0.8724622844827588,32,fa34c1b7564c56bf1181a46c9fb55b4cf575f17b3bff18c7ac041b3423ab40fc
43,adni_to_nacc,ce_x,ok,0.8427106776694173,0.9196049012253062,0.7995085995085995,0.8172043010752689,0.8682170542635659,0.8583333333333333,0.11521453065879284,0.09342687521647239,960,0.8152334958739685,0.8751073184962908,38,c21732369f6fd66135af5a8a2aa40204cb48ec8a31da6fb2365920c14cc9eca8
43,adni_to_nacc,mixstyle_x,ok,0.792198049512378,0.9077199855519434,0.78515625,0.6774193548387096,0.9069767441860465,0.8625,0.10879353706714112,0.08368677876682748,960,0.7599373801783779,0.826834312744853,26,c21732369f6fd66135af5a8a2aa40204cb48ec8a31da6fb2365920c14cc9eca8
43,adni_to_nacc,apic_v3_2_x,ok,0.7973660081687088,0.8994957072601485,0.7949509425642156,0.6774193548387096,0.917312661498708,0.8708333333333333,0.10018450262705239,0.06563831278666238,960,0.7656200508460448,0.8318803659248145,22,c21732369f6fd66135af5a8a2aa40204cb48ec8a31da6fb2365920c14cc9eca8
43,nacc_to_adni,ce_x,ok,0.813146551724138,0.8876077586206896,0.8204081632653062,0.9137931034482759,0.7125,0.8316326530612245,0.13503813095460046,0.08540776483587861,196,0.7583566810344827,0.8635775862068966,31,c21732369f6fd66135af5a8a2aa40204cb48ec8a31da6fb2365920c14cc9eca8
43,nacc_to_adni,mixstyle_x,ok,0.7831896551724138,0.8897629310344828,0.7731481481481481,0.7413793103448276,0.825,0.7755102040816326,0.16787311006357367,0.13930935432206298,196,0.7255872844827587,0.8321497844827587,29,c21732369f6fd66135af5a8a2aa40204cb48ec8a31da6fb2365920c14cc9eca8
43,nacc_to_adni,apic_v3_2_x,ok,0.7353448275862069,0.8563577586206897,0.7141666666666666,0.6206896551724138,0.85,0.7142857142857143,0.20686291023092684,0.16108040526623324,196,0.6781034482758621,0.7839439655172413,29,c21732369f6fd66135af5a8a2aa40204cb48ec8a31da6fb2365920c14cc9eca8
