direction,variant,split,auc,macro_f1,brier,ece,sensitivity,specificity,accuracy,auc_boot,auc_lo,auc_hi,macro_f1_boot,macro_f1_lo,macro_f1_hi,brier_boot,brier_lo,brier_hi,ece_boot,ece_lo,ece_hi,sensitivity_boot,sensitivity_lo,sensitivity_hi,specificity_boot,specificity_lo,specificity_hi,accuracy_boot,accuracy_lo,accuracy_hi
adni_to_nacc,ce_only,source_val,0.9523809523809524,0.8380952380952381,0.11154556950246257,0.08848499078042685,0.8666666666666667,0.8095238095238095,0.8431372549019608,0.9523809523809524,0.898081267657417,0.9907238413760152,0.8380952380952381,0.7228055555555557,0.9388244702119153,0.11154556950246257,0.049426274737582626,0.17765268012350666,0.08848499078042685,0.030707724621948995,0.17730478157533677,0.8666666666666667,0.7350935828877007,0.9696969696969697,0.8095238095238095,0.6108333333333335,0.9500595238095237,0.8431372549019608,0.7450980392156863,0.9411764705882353
adni_to_nacc,ce_only,source_test,0.8757575757575757,0.8612276019824628,0.12868333514443495,0.13385758993417143,0.9,0.8181818181818182,0.8653846153846154,0.8757575757575757,0.7490358182253412,0.9670456249148154,0.8612276019824628,0.7629650365963899,0.9422863485016648,0.12868333514443495,0.04899235083356827,0.21412287693622808,0.13385758993417143,0.05682342087911386,0.2258484778085197,0.9,0.7929728317659352,1.0,0.8181818181818182,0.6470588235294118,0.956608695652174,0.8653846153846154,0.7884615384615384,0.9423076923076923
adni_to_nacc,ce_only,target,0.9228487677474925,0.8076717598033978,0.09758792588265267,0.07272425514464773,0.7311827956989247,0.9095607235142119,0.875,0.9228487677474925,0.9038060185705667,0.9423639540359674,0.8076717598033978,0.7777438319477382,0.8357271850013785,0.09758792588265267,0.07929100835754352,0.11273651617982428,0.07272425514464773,0.05462730568283906,0.09271633932991077,0.7311827956989247,0.6703404685896704,0.7892296122994652,0.9095607235142119,0.8890321767074808,0.9269288079470199,0.875,0.8541666666666666,0.8947916666666667
adni_to_nacc,mixstyle,source_val,0.9476190476190477,0.8608187134502924,0.09404899838279956,0.03039829840207071,0.8333333333333334,0.9047619047619048,0.8627450980392157,0.9476190476190477,0.8832258064516129,0.9907057113578853,0.8608187134502924,0.7424242424242424,0.9403692519708976,0.09404899838279956,0.04711873418222958,0.14305075566089753,0.03039829840207071,0.03500522732665116,0.1295306848529048,0.8333333333333334,0.6994642857142858,0.9602424242424242,0.9047619047619048,0.7222222222222222,1.0,0.8627450980392157,0.7647058823529411,0.9411764705882353
adni_to_nacc,mixstyle,source_test,0.8833333333333334,0.8612276019824628,0.11177378575514799,0.06727590260979467,0.9,0.8181818181818182,0.8653846153846154,0.8833333333333334,0.7434749812593704,0.9729693552061973,0.8612276019824628,0.7629650365963899,0.9422863485016648,0.11177378575514799,0.04857796717884733,0.18555982151422917,0.06727590260979467,0.02892492201489711,0.17602952941392472,0.9,0.7929728317659352,1.0,0.8181818181818182,0.6470588235294118,0.956608695652174,0.8653846153846154,0.7884615384615384,0.9423076923076923
adni_to_nacc,mixstyle,target,0.9188269289544608,0.8105263157894737,0.1035697204599915,0.07292797568564618,0.7526881720430108,0.9043927648578811,0.875,0.9188269289544608,0.8996018204546109,0.9363173987686153,0.8105263157894737,0.7768745489081348,0.8365966113832053,0.1035697204599915,0.08877124808341888,0.12055269694915065,0.07292797568564618,0.06057110396123286,0.0980416859851942,0.7526881720430108,0.683564529874065,0.8070897162230035,0.9043927648578811,0.8814988000408497,0.9226691643383287,0.875,0.8541145833333333,0.89375
adni_to_nacc,apis_only,source_val,0.9444444444444445,0.9377289377289377,0.07687864102653152,0.09010664253981715,1.0,0.8571428571428571,0.9411764705882353,0.9444444444444445,0.8411976911976912,1.0,0.9377289377289377,0.8592588851662069,1.0,0.07687864102653152,0.02780035900471752,0.1325497947512846,0.09010664253981715,0.05273659021924933,0.16588170398861504,1.0,1.0,1.0,0.8571428571428571,0.6837719298245615,1.0,0.9411764705882353,0.8823529411764706,1.0
adni_to_nacc,apis_only,source_test,0.8878787878787879,0.8153846153846154,0.11408722161185164,0.12180249744091505,0.9333333333333333,0.6818181818181818,0.8269230769230769,0.8878787878787879,0.769037037037037,0.9743961675579322,0.8153846153846154,0.7065483831530045,0.9126050420168067,0.11408722161185164,0.048609342663423705,0.18965847246158632,0.12180249744091505,0.048099615624815906,0.1988236104513112,0.9333333333333333,0.8483664772727273,1.0,0.6818181818181818,0.4812865497076023,0.8636363636363636,0.8269230769230769,0.7307692307692307,0.9230769230769231
adni_to_nacc,apis_only,target,0.9239462643438637,0.7769793298263067,0.13162029052802285,0.08928311134481592,0.8817204301075269,0.8178294573643411,0.8302083333333333,0.9239462643438637,0.9053771840609925,0.9408120030682177,0.7769793298263067,0.7474867483144343,0.8003607069962846,0.13162029052802285,0.11556788757386059,0.14909851377288633,0.08928311134481592,0.07164206125902847,0.11334779104515397,0.8817204301075269,0.8332142857142858,0.9231132075471699,0.8178294573643411,0.7947661814673435,0.8464713681355384,0.8302083333333333,0.809375,0.8510416666666667
adni_to_nacc,cdt_only,source_val,0.9698412698412698,0.9190476190476191,0.076021456445782,0.07166931261243274,0.9333333333333333,0.9047619047619048,0.9215686274509803,0.9698412698412698,0.9157539682539683,0.9966783518413953,0.9190476190476191,0.8318773496240602,0.9803627111221848,0.076021456445782,0.03321745173631483,0.13181658261760043,0.07166931261243274,0.039764277849809085,0.17288334188339347,0.9333333333333333,0.851388888888889,1.0,0.9047619047619048,0.75,1.0,0.9215686274509803,0.8431372549019608,0.9803921568627451
adni_to_nacc,cdt_only,source_test,0.8712121212121211,0.8424242424242425,0.13615961040452326,0.13093626120506408,0.8666666666666667,0.8181818181818182,0.8461538461538461,0.8712121212121211,0.7362700691121744,0.9685452728181364,0.8424242424242425,0.7377030812324931,0.9422863485016648,0.13615961040452326,0.05947342461068468,0.21550125605966347,0.13093626120506408,0.058220132606090526,0.23133669769561988,0.8666666666666667,0.741905615292712,1.0,0.8181818181818182,0.6470588235294118,0.956608695652174,0.8461538461538461,0.75,0.9423076923076923
adni_to_nacc,cdt_only,target,0.9093523380845212,0.8099411988662804,0.1057434830703425,0.08494287023269054,0.7204301075268817,0.9160206718346253,0.878125,0.9093523380845212,0.889405643885957,0.9280638408654334,0.8099411988662804,0.7791616847851653,0.8394384008126519,0.1057434830703425,0.08910482483114988,0.12169487339871317,0.08494287023269054,0.06808710509594278,0.10462825144996825,0.7204301075268817,0.6542502875215641,0.7756134515890614,0.9160206718346253,0.89816936479811,0.9355289244817849,0.878125,0.859375,0.8979427083333333
adni_to_nacc,dual_shift,source_val,0.9634920634920635,0.8994875837603469,0.08206133857287191,0.06312099309419882,0.9,0.9047619047619048,0.9019607843137255,0.9634920634920635,0.9157115509938091,0.9953804347826087,0.8994875837603469,0.8145114885114885,0.9607692307692308,0.08206133857287191,0.03423355347313385,0.13391802128825933,0.06312099309419882,0.04229951477226098,0.15543950351000127,0.9,0.7993548387096776,1.0,0.9047619047619048,0.75,1.0,0.9019607843137255,0.8235294117647058,0.9607843137254902
