host,device,task,phase,protocol,protocol_revision,config_hash,code_variant,input_modalities,formal_run_allowed,allow_prototype_run,seed,direction,variant,apic_valid_slots,apic_total_assignments,apic_inference_path,target_loss,target_balanced_accuracy,target_auc,target_macro_f1,target_accuracy,target_sensitivity,target_specificity,target_brier,target_ece,target_worst_group_auc,target_group_gap,target_n,target_n_subjects,target_bacc_ci_lower,target_bacc_ci_upper,source_val_loss,source_val_balanced_accuracy,source_val_auc,source_val_macro_f1,source_val_accuracy,source_val_sensitivity,source_val_specificity,source_val_brier,source_val_ece,source_val_worst_group_auc,source_val_group_gap,source_val_n,source_val_n_subjects,source_val_bacc_ci_lower,source_val_bacc_ci_upper,source_test_loss,source_test_balanced_accuracy,source_test_auc,source_test_macro_f1,source_test_accuracy,source_test_sensitivity,source_test_specificity,source_test_brier,source_test_ece,source_test_worst_group_auc,source_test_group_gap,source_test_n,source_test_n_subjects,source_test_bacc_ci_lower,source_test_bacc_ci_upper
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,abf6f739ae48237a8707ecd198e031be6fac77b9e2631c71e07c4638bf216867,clean,X,False,True,42,ADNI_to_NACC,ce_x,,,,0.908398005990518,0.6725,0.7494642857142858,0.6452603823825834,0.6565464895635673,0.72,0.625,0.2517731478427792,0.19213933585085569,0.7067307692307693,0.17120350306970022,527,527,0.6295353084415584,0.7125562094155845,1.764855575465828,0.592071611253197,0.6214833759590793,0.5747342088805503,0.575,0.7058823529411765,0.4782608695652174,0.3531339929898693,0.339573015930752,0.29166666666666663,0.7083333333333334,40,40,0.46019820971867015,0.72269820971867,1.2636988159348748,0.5897435897435898,0.6638176638176638,0.4987468671679198,0.5,0.8461538461538461,0.3333333333333333,0.3738325195600337,0.33040362680951757,0.5,0.16666666666666674,40,40,0.4340811965811966,0.7037037037037037
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,abf6f739ae48237a8707ecd198e031be6fac77b9e2631c71e07c4638bf216867,mixstyle,X,False,True,42,ADNI_to_NACC,mixstyle_x,,,,0.8930695982935977,0.6993587662337662,0.7588474025974026,0.6866002471424157,0.7077798861480076,0.6742857142857143,0.7244318181818182,0.222036343421435,0.16563850693088922,0.6330128205128205,0.21909985554351752,527,527,0.6564555600649351,0.7421694399350649,1.2852009808785632,0.6355498721227621,0.6777493606138107,0.6247654784240151,0.625,0.7058823529411765,0.5652173913043478,0.29436022231719905,0.2534327195212245,0.49999999999999994,0.4444444444444446,40,40,0.49741048593350384,0.7597506393861893,0.9726953651858677,0.6239316239316239,0.6923076923076923,0.5907928388746804,0.6,0.6923076923076923,0.5555555555555556,0.2796538564061372,0.2283348326136669,0.3333333333333333,0.523809523809524,40,40,0.4711182336182337,0.7735398860398861
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,abf6f739ae48237a8707ecd198e031be6fac77b9e2631c71e07c4638bf216867,v3_2_balanced_style_memory,X,False,True,42,ADNI_to_NACC,apic_v3_2_x,4,90.0,clean,1.1240561470344508,0.6598295454545455,0.7368506493506495,0.6205903527717782,0.6261859582542695,0.76,0.5596590909090909,0.2895289990222551,0.2382997464833947,0.5801282051282051,0.25250337381916343,527,527,0.6255586444805195,0.7026055194805194,1.8595972070211455,0.6150895140664961,0.6572890025575447,0.5615731785944552,0.575,0.8823529411764706,0.34782608695652173,0.3759538192318371,0.3680638261015216,0.375,0.625,40,40,0.504955242966752,0.7391304347826086,1.5257088269963308,0.6467236467236468,0.7578347578347578,0.5488721804511278,0.55,0.9230769230769231,0.37037037037037035,0.36526759588993024,0.3264560623715322,0.7142857142857143,0.2857142857142857,40,40,0.49850427350427357,0.7407407407407407
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,abf6f739ae48237a8707ecd198e031be6fac77b9e2631c71e07c4638bf216867,clean,X,False,True,42,NACC_to_ADNI,ce_x,,,,0.9369851238054884,0.6756506651243493,0.7277038750722962,0.5959595959595959,0.5959595959595959,0.9076923076923077,0.44360902255639095,0.30659587100593183,0.25428298517359227,0.5,0.47142857142857153,198,198,0.622672064777328,0.7325665124349334,1.0375673819939024,0.7214285714285714,0.8236734693877552,0.6474911532528809,0.6476190476190476,0.9428571428571428,0.5,0.27421696702593074,0.22108153114243162,0.6875,0.3125,105,105,0.6428571428571428,0.7857142857142857,1.1102922042182675,0.6919934640522876,0.7794117647058822,0.6128974792909949,0.6132075471698113,0.9117647058823529,0.4722222222222222,0.3051464957722706,0.2554870718305216,0.5263157894736842,0.39676113360323895,106,106,0.6131535947712419,0.7622549019607843
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,abf6f739ae48237a8707ecd198e031be6fac77b9e2631c71e07c4638bf216867,mixstyle,X,False,True,42,NACC_to_ADNI,mixstyle_x,,,,0.9111030340811155,0.6399074609600925,0.7366107576633892,0.6001863932898416,0.6060606060606061,0.7384615384615385,0.5413533834586466,0.2766678503243664,0.23386387638496833,0.6985714285714285,0.3014285714285715,198,198,0.5749479467900521,0.708703007518797,1.1449242765272098,0.7357142857142858,0.7783673469387755,0.6828375286041191,0.6857142857142857,0.8857142857142857,0.5857142857142857,0.26365326662261473,0.206318314775588,0.6458333333333334,0.35416666666666663,105,105,0.6569642857142858,0.8071428571428572,1.0357922727778328,0.7111928104575163,0.7990196078431371,0.6559682654165164,0.660377358490566,0.8529411764705882,0.5694444444444444,0.25796105685573606,0.2111921706383334,0.5394736842105263,0.4115752668384247,106,106,0.6081801470588236,0.7910028594771243
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,abf6f739ae48237a8707ecd198e031be6fac77b9e2631c71e07c4638bf216867,v3_2_balanced_style_memory,X,False,True,42,NACC_to_ADNI,apic_v3_2_x,4,172.0,clean,1.028077878439792,0.6795257374204743,0.728744939271255,0.6773492667028789,0.7121212121212122,0.5846153846153846,0.7744360902255639,0.23190696790678983,0.1814444392536977,0.6228571428571429,0.31999999999999995,198,198,0.6143912666281088,0.7518305378831693,0.940678330699395,0.7428571428571429,0.810204081632653,0.7375262473752624,0.7619047619047619,0.6857142857142857,0.8,0.19853004837740976,0.19431733077480678,0.6666666666666666,0.33333333333333337,105,105,0.6428571428571428,0.8357142857142857,0.8692595694102981,0.6891339869281046,0.7761437908496731,0.6919883769198838,0.7358490566037735,0.5588235294117647,0.8194444444444444,0.21608171189987263,0.20293636830910197,0.5394736842105263,0.39758925285241076,106,106,0.615451388888889,0.798202614379085
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,baa3f7c239f0a6eed162a26633657aef93c932349eb7daf432d15c5d2d974a95,clean,X,False,True,43,ADNI_to_NACC,ce_x,,,,0.7126507932396423,0.6576785714285714,0.7460876623376623,0.661959962268106,0.7096774193548387,0.5028571428571429,0.8125,0.20706016969696397,0.12938037591501556,0.6318082788671024,0.2171745067354015,527,527,0.6190643262987013,0.6963252840909091,0.8541302236668561,0.6572890025575449,0.710997442455243,0.6491228070175439,0.65,0.7058823529411765,0.6086956521739131,0.24657816815489828,0.14645179045697054,0.5833333333333334,0.3055555555555556,40,40,0.5177429667519181,0.818574168797954,0.768049614571378,0.6994301994301995,0.7350427350427351,0.6647324306898775,0.675,0.7692307692307693,0.6296296296296297,0.23838664496833797,0.15904804209557666,0.6190476190476191,0.38095238095238093,40,40,0.5650997150997151,0.8333333333333333
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,baa3f7c239f0a6eed162a26633657aef93c932349eb7daf432d15c5d2d974a95,mixstyle,X,False,True,43,ADNI_to_NACC,mixstyle_x,,,,1.0341882457175586,0.6794724025974026,0.7346753246753247,0.6628484386900229,0.681214421252372,0.6742857142857143,0.6846590909090909,0.2517654305931043,0.2066929996140881,0.6492374727668846,0.2151339409003037,527,527,0.6421759334415584,0.7236059253246753,1.510641443468374,0.5703324808184144,0.6163682864450128,0.5488721804511278,0.55,0.7058823529411765,0.43478260869565216,0.3358729431461742,0.2983161307995518,0.45833333333333337,0.3416666666666667,40,40,0.42292199488491056,0.7161125319693095,1.3758694762057673,0.6267806267806267,0.5726495726495726,0.55,0.55,0.8461538461538461,0.4074074074074074,0.3748579911069858,0.316254540272057,0.0,0.7142857142857143,40,40,0.4956552706552707,0.7596509971509973
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,baa3f7c239f0a6eed162a26633657aef93c932349eb7daf432d15c5d2d974a95,v3_2_balanced_style_memory,X,False,True,43,ADNI_to_NACC,apic_v3_2_x,4,91.0,clean,0.8943566863993258,0.6706899350649351,0.7515746753246754,0.6676061060901224,0.7001897533206831,0.5828571428571429,0.7585227272727273,0.23176112545078015,0.1826632871988521,0.6721132897603486,0.21442818128816477,527,527,0.632158685064935,0.7106122159090908,1.0211550548006225,0.70076726342711,0.7263427109974424,0.696969696969697,0.7,0.7058823529411765,0.6956521739130435,0.2325443193183862,0.15147739822665843,0.5833333333333334,0.41666666666666663,40,40,0.5469629156010231,0.8248081841432224,0.9710822237539105,0.6809116809116809,0.6837606837606838,0.6419437340153453,0.65,0.7692307692307693,0.5925925925925926,0.26071873736313167,0.19335769700817762,0.0,0.8095238095238095,40,40,0.5266737891737893,0.7966524216524217
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary_prototype,apic_v3_2_screening_mci_ad,4,baa3f7c239f0a6eed162a26633657aef93c932349eb7daf432d15c5d2d974a95,clean,X,False,True,43,NACC_to_ADNI,ce_x,,,,0.9966912534411437,0.6593984962406015,0.7086176980913823,0.6082230502376975,0.6111111111111112,0.8,0.518796992481203,0.2963396843558987,0.24789275688680534,0.6565656565656566,0.31486291486291496,198,198,0.5987102371312897,0.7201590514748409,0.9292904530517071,0.7285714285714286,0.806530612244898,0.6958228202971685,0.7047619047619048,0.8,0.6571428571428571,0.23788985212403696,0.18673561603303934,0.6458333333333333,0.35416666666666674,105,105,0.6428571428571428,0.8,0.9611021624207778,0.6748366013071896,0.8084150326797386,0.626457034426674,0.6320754716981132,0.7941176470588235,0.5555555555555556,0.26366610245277833,0.25717281564226685,0.5789473684210527,0.35811556864188443,106,106,0.6010008169934642,0.7615706699346405
