host,device,task,phase,protocol,protocol_revision,config_hash,code_variant,input_modalities,seed,direction,variant,target_balanced_accuracy,target_auc,target_macro_f1,target_accuracy,target_sensitivity,target_specificity,target_brier,target_ece,target_worst_group_auc,target_group_gap,target_n,target_n_subjects,target_loss,target_bacc_ci_lower,target_bacc_ci_upper,source_val_balanced_accuracy,source_val_auc,source_val_macro_f1,source_val_accuracy,source_val_sensitivity,source_val_specificity,source_val_brier,source_val_ece,source_val_worst_group_auc,source_val_group_gap,source_val_n,source_val_n_subjects,source_val_loss,source_val_bacc_ci_lower,source_val_bacc_ci_upper,source_test_balanced_accuracy,source_test_auc,source_test_macro_f1,source_test_accuracy,source_test_sensitivity,source_test_specificity,source_test_brier,source_test_ece,source_test_worst_group_auc,source_test_group_gap,source_test_n,source_test_n_subjects,source_test_loss,source_test_bacc_ci_lower,source_test_bacc_ci_upper,apic_inference_path,apic_total_assignments,apic_valid_slots,source_test_auc_1.5T,source_test_auc_3T,source_test_bacc_1.5T,source_test_bacc_3T,source_val_auc_1.5T,source_val_auc_3T,source_val_bacc_1.5T,source_val_bacc_3T,target_auc_1.5T,target_auc_3T,target_bacc_1.5T,target_bacc_3T
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,d11493024abf9cdb3da464cec63c2d31f00f750e9aa6b2b7503a20d26ba566c7,clean,X,42,ADNI_to_NACC,ce_x,0.6504464285714285,0.7339935064935065,0.657258064516129,0.715370018975332,0.45714285714285713,0.84375,0.21065080833811461,0.14362220060855513,0.6298076923076924,0.19726586011797276,527,527,0.8181734220962295,0.6090040584415585,0.6903506493506493,0.6636828644501278,0.6905370843989771,0.6647324306898775,0.675,0.5882352941176471,0.7391304347826086,0.2740995914639976,0.27422263484448184,0.5,0.30000000000000004,40,40,1.267816350703478,0.5023976982097187,0.7738171355498721,0.6581196581196581,0.7122507122507122,0.6581196581196581,0.7,0.5384615384615384,0.7777777777777778,0.220302738021742,0.21753183323889966,0.6000000000000001,0.3999999999999999,40,40,0.8754912852524094,0.5038461538461539,0.829059829059829,,,,0.7604166666666666,,0.65625,1.0,0.6625386996904026,,0.6625386996904025,,,0.7432760787599496,,0.6581901968998743
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,d11493024abf9cdb3da464cec63c2d31f00f750e9aa6b2b7503a20d26ba566c7,mixstyle,X,42,ADNI_to_NACC,mixstyle_x,0.7079301948051948,0.7779220779220779,0.6936671632540719,0.713472485768501,0.6914285714285714,0.7244318181818182,0.19620173984382092,0.06262302674838514,0.6201923076923077,0.26713163596966416,527,527,0.610038837970488,0.6694634740259741,0.7464778814935065,0.6713554987212276,0.7084398976982098,0.6698412698412699,0.675,0.6470588235294118,0.6956521739130435,0.22304280020575135,0.12639061097055673,0.5,0.5,40,40,0.7150277436599819,0.5022378516624042,0.7955882352941177,0.717948717948718,0.7293447293447294,0.6875,0.7,0.7692307692307693,0.6666666666666666,0.23138963592932943,0.14786300912499428,0.0,1.0,40,40,0.7147269832264436,0.5710826210826212,0.8703703703703703,,,,0.7552083333333334,,0.71875,1.0,0.7120743034055728,,0.6919504643962848,,,0.7845999162128194,,0.7137494763301215
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,d11493024abf9cdb3da464cec63c2d31f00f750e9aa6b2b7503a20d26ba566c7,v3_style_memory,X,42,ADNI_to_NACC,apic_v3_x,0.6705762987012986,0.7307954545454545,0.6727017722810149,0.713472485768501,0.5428571428571428,0.7982954545454546,0.21900555522966084,0.1480559440238954,0.6437908496732027,0.2080610021786492,527,527,0.831127340928865,0.6305389610389611,0.7105631087662337,0.6508951406649617,0.731457800511509,0.6228786926461345,0.625,0.8235294117647058,0.4782608695652174,0.2714404985701274,0.2334921725218495,0.5,0.33333333333333326,40,40,0.899987336897522,0.5343350383631714,0.7674552429667519,0.6823361823361823,0.7264957264957265,0.6228786926461345,0.625,0.8461538461538461,0.5185185185185185,0.2810552116803222,0.21301852033783994,0.6666666666666666,0.33333333333333337,40,40,0.8515921838912427,0.5299145299145299,0.7962962962962963,clean,404.0,8,0.7239583333333334,,0.6979166666666667,1.0,0.7554179566563467,,0.6486068111455108,,,0.735969836614998,,0.6731881022203603
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,d11493024abf9cdb3da464cec63c2d31f00f750e9aa6b2b7503a20d26ba566c7,clean,X,42,NACC_to_ADNI,ce_x,0.6629265471370734,0.7649508386350491,0.6727272727272727,0.7373737373737373,0.4461538461538462,0.8796992481203008,0.2124443480671026,0.17673194347833743,0.625,0.31785714285714295,198,198,1.1059158315168836,0.608554077501446,0.7244794679005205,0.7642857142857142,0.8330612244897959,0.7642857142857142,0.7904761904761904,0.6857142857142857,0.8428571428571429,0.17982720640246364,0.1539139390937866,0.7265625,0.2734375,105,105,1.01443190720454,0.6642857142857143,0.8501785714285716,0.6830065359477124,0.7769607843137254,0.6800804828973843,0.7169811320754716,0.5882352941176471,0.7777777777777778,0.23459082226611766,0.21358032191886833,0.46052631578947373,0.4975156422524842,106,106,1.0315468287271594,0.6030024509803923,0.777389705882353,,,,,0.7963125548726954,,0.6971027216856892,,0.8405117270788912,,0.7682302771855011,0.7825396825396825,1.0,0.6801587301587302,0.5
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,d11493024abf9cdb3da464cec63c2d31f00f750e9aa6b2b7503a20d26ba566c7,mixstyle,X,42,NACC_to_ADNI,mixstyle_x,0.6523423944476576,0.7369577790630423,0.6551439114391144,0.702020202020202,0.5076923076923077,0.7969924812030075,0.22382834787685676,0.1766599764313661,0.6514285714285715,0.29142857142857137,198,198,1.0427861576310185,0.591150954308849,0.7210613071139387,0.7357142857142858,0.8326530612244898,0.7390223695111848,0.7714285714285715,0.6285714285714286,0.8428571428571429,0.1656362578121572,0.11529604272236901,0.6458333333333333,0.35416666666666674,105,105,0.7603101523490657,0.6426785714285714,0.82875,0.7463235294117647,0.8402777777777777,0.7538006756756757,0.7924528301886793,0.6176470588235294,0.875,0.1563594978453207,0.1055637078371438,0.5394736842105263,0.42556128082443867,106,106,0.6319867101759,0.6535743464052288,0.8546160130718954,,,,,0.850307287093942,,0.7640474100087796,,0.8469083155650319,,0.7471215351812366,0.7515873015873016,1.0,0.653968253968254,0.75
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,d11493024abf9cdb3da464cec63c2d31f00f750e9aa6b2b7503a20d26ba566c7,v3_style_memory,X,42,NACC_to_ADNI,apic_v3_x,0.6393290919606709,0.7337189126662811,0.6474455554033695,0.7373737373737373,0.35384615384615387,0.924812030075188,0.2097270611037553,0.1605687221123363,0.6000000000000001,0.2857142857142856,198,198,1.0255844736024367,0.5859861191440139,0.7124045691150954,0.75,0.8102040816326531,0.7666666666666666,0.8095238095238095,0.5714285714285714,0.9285714285714286,0.1711420548435623,0.14653023755739603,0.6874999999999999,0.3125000000000001,105,105,0.7244763047910554,0.65,0.8428571428571429,0.6572712418300654,0.8280228758169934,0.6685581933989577,0.7452830188679245,0.4117647058823529,0.9027777777777778,0.18464925985902972,0.1524605639513184,0.618421052631579,0.346613912403386,106,106,0.621611568950219,0.5837418300653595,0.7446895424836601,clean,5432.0,8,,0.8467954345917471,,0.6611062335381914,,0.823454157782516,,0.755863539445629,0.7732142857142857,1.0,0.6637896825396825,0.5
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,083d8c3690e2e109426ea9f22f5fe22a3d1ea23503ccd7d96c2ac02f0fd276f7,clean,X,43,ADNI_to_NACC,ce_x,0.6780357142857143,0.7355357142857144,0.6622104202911822,0.681214421252372,0.6685714285714286,0.6875,0.2289313082693569,0.13312424405476178,0.594551282051282,0.24399853537177474,527,527,0.7231796681980633,0.6366422483766233,0.7238344155844155,0.6278772378516624,0.70076726342711,0.6228786926461345,0.625,0.6470588235294118,0.6086956521739131,0.24223980348666582,0.16460934256513912,0.49999999999999994,0.5,40,40,0.795097294169555,0.48030690537084414,0.7660166240409207,0.6424501424501424,0.7350427350427351,0.6131528046421664,0.625,0.6923076923076923,0.5925925925925926,0.23532051556529215,0.14237697935352725,0.75,0.25,40,40,0.8186099774841415,0.4729344729344729,0.7939814814814815,,,,0.734375,,0.6458333333333333,1.0,0.6934984520123839,,0.6130030959752322,,,0.7460745705906996,,0.6847255969836615
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,083d8c3690e2e109426ea9f22f5fe22a3d1ea23503ccd7d96c2ac02f0fd276f7,mixstyle,X,43,ADNI_to_NACC,mixstyle_x,0.687573051948052,0.772077922077922,0.6948569482288829,0.7419354838709677,0.5257142857142857,0.8494318181818182,0.19371881635479757,0.10750407818410303,0.6602564102564104,0.19681192568516503,527,527,0.6692545754145774,0.6417739448051948,0.7290456574675324,0.6329923273657289,0.6956521739130436,0.6218181818181818,0.675,0.35294117647058826,0.9130434782608695,0.24521300999770368,0.1973238263527552,0.5,0.33333333333333337,40,40,0.9121193330854588,0.515153452685422,0.7435102301790283,0.5227920227920227,0.7008547008547009,0.5157384987893463,0.625,0.23076923076923078,0.8148148148148148,0.21487447422449474,0.18211012091487647,0.4761904761904762,0.3238095238095237,40,40,0.7610332932703099,0.3902777777777778,0.6571225071225072,,,,0.703125,,0.5,0.0,0.6656346749226006,,0.6238390092879257,,,0.7807959782153331,,0.6924759111855886
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,083d8c3690e2e109426ea9f22f5fe22a3d1ea23503ccd7d96c2ac02f0fd276f7,v3_style_memory,X,43,ADNI_to_NACC,apic_v3_x,0.6317694805194806,0.7427922077922079,0.6385128955551491,0.715370018975332,0.38285714285714284,0.8806818181818182,0.21450321099541297,0.16391998595881502,0.578525641025641,0.25167780185385813,527,527,0.8135672647107979,0.5960765016233767,0.6747041396103897,0.5895140664961637,0.7723785166240409,0.5807127882599581,0.625,0.35294117647058826,0.8260869565217391,0.21992427870898776,0.22070728787531452,0.5833333333333334,0.41666666666666663,40,40,0.8337846451114282,0.46547314578005117,0.6994884910485933,0.5626780626780626,0.6495726495726496,0.5636363636363637,0.625,0.38461538461538464,0.7407407407407407,0.2559392771138819,0.20875430109600224,0.33333333333333337,0.49523809523809526,40,40,0.9031008576367687,0.41025641025641024,0.6942307692307693,clean,8888.0,8,0.7864583333333333,,0.6458333333333334,0.0,0.7739938080495355,,0.5975232198142415,,,0.7529116045245079,,0.6401089233347298
an5bi4acenfa1-0,RTX_5090,MCI_vs_AD,primary,apic_v3_screening_mci_ad,3,083d8c3690e2e109426ea9f22f5fe22a3d1ea23503ccd7d96c2ac02f0fd276f7,clean,X,43,NACC_to_ADNI,ce_x,0.6292654713707345,0.6955465587044535,0.6327629532128755,0.6868686868686869,0.46153846153846156,0.7969924812030075,0.2363470439742171,0.16587210385385995,0.5671428571428572,0.3757142857142858,198,198,0.9418003357626034,0.5709731058415268,0.701748120300752,0.7,0.8114285714285715,0.7041018682809728,0.7428571428571429,0.5714285714285714,0.8285714285714286,0.17176629827052267,0.1286535759293844,0.65625,0.34375,105,105,0.6683594226185933,0.6142857142857143,0.8001785714285715,0.7324346405228759,0.7761437908496733,0.7359900373599004,0.7735849056603774,0.6176470588235294,0.8472222222222222,0.19810380927226037,0.17150511976870353,0.5555555555555556,0.40947940947940953,106,106,0.7174553038256074,0.64484272875817,0.8190359477124183,,,,,0.7932396839332748,,0.741659350307287,,0.8255863539445629,,0.7036247334754797,0.723015873015873,1.0,0.650595238095238,0.5
