seed,direction,variant,split,field_strength,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,group_gap,worst_group_auc,n_subjects,n
44,adni_to_nacc,ce_only,source_val,3T,complete,0.7285714285714285,0.7142857142857143,0.7333333333333332,0.6,0.8571428571428571,0.75,0.23080609962577625,0.2819636130912436,0.5,0.5,12,12
44,adni_to_nacc,ce_only,source_test,1.5T,complete,0.6923076923076923,0.9008097165991903,0.6296296296296297,0.38461538461538464,1.0,0.6444444444444445,0.23191104959047854,0.18342795662305977,0.33333333333333337,0.6666666666666666,45,45
44,adni_to_nacc,ce_only,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.0024377307436756145,0.04016757011413574,,,6,6
44,adni_to_nacc,mixstyle,target,3T,complete,0.7934275235475535,0.8658831374510296,0.7384520123839009,0.7741935483870968,0.8126614987080103,0.8052083333333333,0.14357195926875121,0.07096174454264766,0.09346772630354727,0.8226514486391571,960,960
44,adni_to_nacc,mixstyle,source_val,1.5T,complete,0.8173076923076923,0.8769230769230769,0.8206627680311891,0.8846153846153846,0.75,0.8260869565217391,0.14856634175483469,0.12386262339094403,0.2857142857142858,0.7142857142857142,46,46
44,adni_to_nacc,mixstyle,source_val,3T,complete,0.7571428571428571,0.8285714285714286,0.7482517482517481,0.8,0.7142857142857143,0.75,0.19877655048736106,0.19525751885440612,0.375,0.625,12,12
44,adni_to_nacc,mixstyle,source_test,1.5T,complete,0.7702429149797572,0.8744939271255061,0.7785675232367415,0.9615384615384616,0.5789473684210527,0.8,0.14774808870657868,0.10184675225505121,0.45833333333333326,0.5416666666666667,45,45
44,adni_to_nacc,mixstyle,source_test,3T,complete,0.8333333333333334,,0.45454545454545453,,0.8333333333333334,0.8333333333333334,0.14991032464057052,0.258924212720659,,,6,6
44,adni_to_nacc,metadata,target,3T,complete,0.5,0.5,0.16230366492146597,1.0,0.0,0.19375,0.80625,0.80625,0.0,0.5,960,960
44,adni_to_nacc,metadata,source_val,1.5T,complete,0.8346153846153846,0.901923076923077,0.8257575757575757,0.7692307692307693,0.9,0.8260869565217391,0.1547621804227671,0.1341417714413526,0.33333333333333337,0.6666666666666666,46,46
44,adni_to_nacc,metadata,source_val,3T,complete,0.7285714285714285,0.7714285714285714,0.7333333333333332,0.6,0.8571428571428571,0.75,0.2508321060005419,0.2669770539634757,0.375,0.625,12,12
44,adni_to_nacc,metadata,source_test,1.5T,complete,0.8390688259109311,0.917004048582996,0.8221343873517787,0.7307692307692307,0.9473684210526315,0.8222222222222222,0.12020803464488944,0.1428594943549898,0.2142857142857143,0.7857142857142857,45,45
44,adni_to_nacc,metadata,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.009461301062921016,0.04715874128871498,,,6,6
44,adni_to_nacc,metadata_xda,target,3T,complete,0.5,0.5,0.16230366492146597,1.0,0.0,0.19375,0.80625,0.80625,0.0,0.5,960,960
44,adni_to_nacc,metadata_xda,source_val,1.5T,complete,0.8673076923076923,0.8942307692307693,0.8673076923076923,0.8846153846153846,0.85,0.8695652173913043,0.11114542944742696,0.08493659174528673,0.25714285714285723,0.7428571428571428,46,46
44,adni_to_nacc,metadata_xda,source_val,3T,complete,0.7571428571428571,0.7428571428571429,0.7482517482517481,0.8,0.7142857142857143,0.75,0.19599573770566617,0.1972085047099325,0.5,0.5,12,12
44,adni_to_nacc,metadata_xda,source_test,1.5T,complete,0.7702429149797572,0.9149797570850202,0.7785675232367415,0.9615384615384616,0.5789473684210527,0.8,0.13665518225054846,0.08817512653492109,0.25,0.75,45,45
44,adni_to_nacc,metadata_xda,source_test,3T,complete,0.8333333333333334,,0.45454545454545453,,0.8333333333333334,0.8333333333333334,0.12187867761325284,0.05749652783075968,,,6,6
44,adni_to_nacc,apis_v2,target,3T,complete,0.815620571809619,0.8848601039148676,0.7866666666666667,0.7526881720430108,0.8785529715762274,0.8541666666666666,0.11448488593131398,0.04856068072323169,0.15302710477649284,0.7831431079894645,960,960
44,adni_to_nacc,apis_v2,source_val,1.5T,complete,0.8096153846153846,0.9,0.8035121025154248,0.7692307692307693,0.85,0.8043478260869565,0.13323452853265136,0.08587354728277186,0.33333333333333337,0.6666666666666666,46,46
44,adni_to_nacc,apis_v2,source_val,3T,complete,0.6571428571428571,0.8,0.6571428571428571,0.6,0.7142857142857143,0.6666666666666666,0.22490661868549186,0.2246621660888195,0.375,0.625,12,12
44,adni_to_nacc,apis_v2,source_test,1.5T,complete,0.8178137651821862,0.9230769230769231,0.8178137651821862,0.8461538461538461,0.7894736842105263,0.8222222222222222,0.12130717939061131,0.09410451891245661,0.33333333333333337,0.6666666666666666,45,45
44,adni_to_nacc,apis_v2,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.026719032615080785,0.09317353367805484,,,6,6
44,nacc_to_adni,ce_only,target,1.5T,complete,0.8208616780045351,0.902332361516035,0.8122605363984674,0.753968253968254,0.8877551020408163,0.8125,0.14394541123409557,0.08016057746260363,0.16714150047483378,0.8328584995251662,224,224
44,nacc_to_adni,ce_only,target,3T,complete,0.7985347985347986,0.8864468864468864,0.8068181818181819,0.6923076923076923,0.9047619047619048,0.8235294117647058,0.14621987503761671,0.12846697326384326,0.36363636363636365,0.6363636363636364,34,34
44,nacc_to_adni,ce_only,target,unknown,complete,1.0,,0.5,,1.0,1.0,4.298278967106734e-06,0.0020732879638671875,,,1,1
44,nacc_to_adni,ce_only,source_val,3T,complete,0.8223190932868352,0.9238012205754141,0.8290598290598291,0.7027027027027027,0.9419354838709677,0.8958333333333334,0.08554958010896375,0.06884022309289627,0.167080745341615,0.8285714285714285,192,192
