seed,direction,variant,status,split,claim_protocol_revision,split_seed,training_seed,initialization_seed,config_hash,loss,subject_balanced_accuracy,subject_auc,subject_macro_f1,subject_sensitivity,subject_specificity,subject_accuracy,subject_brier,subject_ece,subject_group_gap,subject_worst_group_auc,subject_n_subjects,subject_n,scan_balanced_accuracy,scan_auc,scan_macro_f1,scan_sensitivity,scan_specificity,scan_accuracy,scan_brier,scan_ece,scan_group_gap,scan_worst_group_auc,scan_n_subjects,scan_n,subject_balanced_accuracy_ci_lo,subject_balanced_accuracy_ci_hi,subject_auc_ci_lo,subject_auc_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,subject_sensitivity_ci_lo,subject_sensitivity_ci_hi,subject_specificity_ci_lo,subject_specificity_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,subject_ece_ci_lo,subject_ece_ci_hi,subject_group_gap_ci_lo,subject_group_gap_ci_hi,subject_worst_group_auc_ci_lo,subject_worst_group_auc_ci_hi
42,adni_to_nacc,ce_only,complete,target,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.3927083243738403,0.8204551137784446,0.9117279319829957,0.7865250181654181,0.7688172043010753,0.872093023255814,0.8520833333333333,0.10934612069153112,0.06576323531464565,0.11304174315587834,0.848990342405619,960,960,0.8138106624158696,0.9058049946865038,0.7841375793348244,0.7583333333333333,0.869287991498406,0.8467400508044031,0.11368544663603417,0.07151212079559313,0.11131192200462403,0.8414932680538555,960,1181,0.7888347086771694,0.8491867758606318,0.8846753355005418,0.930698125920369,0.757721738974304,0.8124083432075966,0.7150537634408602,0.8225806451612904,0.851421188630491,0.892797157622739,0.83015625,0.8708333333333333,0.09680273264354965,0.12391163638216203,0.05143097567889426,0.08732459198592962,0.06147936823114613,0.23133526108108518,0.7318260930103035,0.9031570037105752
42,adni_to_nacc,ce_only,complete,source_val,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.5829411071635847,0.8403846153846153,0.9115384615384616,0.8260869565217392,0.7307692307692307,0.95,0.8260869565217391,0.14553507151673442,0.10686640118597754,0.22857142857142865,0.7714285714285714,46,46,0.8193105110896818,0.898023143683703,0.813404050144648,0.7205882352941176,0.9180327868852459,0.813953488372093,0.14875674094844,0.12015288929606602,0.26,0.74,46,129,0.7383173076923077,0.9423076923076923,0.8016346153846154,0.9848076923076923,0.7161298552319396,0.9345040341718083,0.5759615384615385,0.9230769230769231,0.85,1.0,0.717391304347826,0.9347826086956522,0.07575743706486672,0.24045127381189282,0.07407145864829649,0.22996016728368798,0.0,0.5691666666666673,0.43083333333333373,1.0
42,adni_to_nacc,ce_only,complete,source_test,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.3553802934857231,0.8615384615384616,0.9288461538461539,0.8654970760233919,0.9230769230769231,0.8,0.8695652173913043,0.09460871664931929,0.06544855662446086,0.6666666666666667,0.3333333333333333,46,46,0.9006696428571428,0.9352678571428572,0.899749373433584,0.9107142857142857,0.890625,0.9,0.09364186185300398,0.054570398728052805,0.75,0.25,46,120,0.7538461538461538,0.9501442307692307,0.8343269230769231,0.9903846153846154,0.7552007740686986,0.9551807804768332,0.8076923076923077,1.0,0.6,0.95,0.7608695652173914,0.9565217391304348,0.04143388499547599,0.15857093584622167,0.04118922416768647,0.17523970222937454,0.0,1.0,0.0,1.0
42,adni_to_nacc,mixstyle,complete,target,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.4620653096752858,0.7523755938984746,0.8496707510210887,0.7265237064725556,0.6559139784946236,0.8488372093023255,0.8114583333333333,0.13353527822275935,0.05470255264339762,0.17554389344670696,0.7258312020460357,960,960,0.7359856535600425,0.8300301098122564,0.7168945000368796,0.625,0.8469713071200851,0.8018628281117697,0.14355414785793,0.0660844750065202,0.17445236143726106,0.7206720672067207,960,1181,0.7184759731599567,0.7856396390764357,0.8215008613264428,0.8753000750187547,0.6960696465769075,0.7558727840754662,0.5913978494623656,0.7151881720430108,0.8255490956072352,0.8708010335917312,0.7895572916666667,0.8333854166666668,0.12018749125163106,0.14737857209306146,0.04037565990034235,0.07702117406691987,0.10929426801822861,0.34125019390124023,0.5867955957086393,0.8016599658869396
42,adni_to_nacc,mixstyle,complete,source_val,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.41935528047353954,0.8365384615384616,0.8999999999999999,0.8417690417690418,0.9230769230769231,0.75,0.8478260869565217,0.1144300305459205,0.07900464904974694,0.2857142857142857,0.7142857142857143,46,46,0.8165380906460945,0.8934426229508197,0.8181651038793896,0.9117647058823529,0.7213114754098361,0.8217054263565892,0.12895024609063355,0.05909320966217866,0.2633333333333333,0.7366666666666667,46,129,0.7363942307692308,0.9365384615384615,0.805625,0.976923076923077,0.7384808723138311,0.9340028694404591,0.8076923076923077,1.0,0.55,0.95,0.7603260869565218,0.9347826086956522,0.05454598296621194,0.17561271017130184,0.04479153058397167,0.1949061567775181,0.0,0.6666666666666666,0.33333333333333337,1.0
42,adni_to_nacc,mixstyle,complete,source_test,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.4849272171074214,0.7365384615384616,0.9115384615384615,0.7401129943502825,0.9230769230769231,0.55,0.7608695652173914,0.14138567132770752,0.147292358017918,0.33333333333333337,0.6666666666666666,46,46,0.7790178571428572,0.9148995535714286,0.7624434389140272,0.9642857142857143,0.59375,0.7666666666666667,0.16070184474456142,0.10208009680112207,0.38842975206611574,0.6115702479338843,46,120,0.6288461538461538,0.8615384615384616,0.8346153846153846,0.975048076923077,0.6164505012531329,0.8654970760233919,0.8067307692307694,1.0,0.35,0.75,0.6521739130434783,0.8695652173913043,0.07949950052923573,0.19791363274322388,0.08695078389665144,0.22900864674804225,0.0,1.0,0.0,1.0
42,adni_to_nacc,metadata,complete,target,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,313.20340428364466,0.5,0.5,0.4463667820069204,0.0,1.0,0.80625,0.19375,0.19374999999999998,0.0,0.5,960,960,0.5,0.5,0.443449575871819,0.0,1.0,0.7967823878069432,0.20321761219305673,0.20321761219305678,0.0,0.5,960,1181,0.5,0.5,0.5,0.5,0.4463667820069204,0.4463667820069204,0.0,0.0,1.0,1.0,0.80625,0.80625,0.19375,0.19375,0.19374999999999998,0.19374999999999998,0.0,0.0,0.5,0.5
42,adni_to_nacc,metadata,complete,source_val,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.437872361063293,0.8423076923076923,0.8846153846153847,0.8442186744073537,0.8846153846153846,0.8,0.8478260869565217,0.13659676073756738,0.11286562538511019,0.25714285714285723,0.7428571428571428,46,46,0.8060511089681774,0.8768081002892961,0.8057813911472447,0.8088235294117647,0.8032786885245902,0.8062015503875969,0.14263900450240288,0.037838417430256704,0.2533333333333334,0.7466666666666666,46,129,0.7401442307692309,0.95,0.7634134615384615,0.9654326923076924,0.7370247034826622,0.9551656920077973,0.7682692307692309,1.0,0.6487500000000003,0.9512500000000003,0.7391304347826086,0.9565217391304348,0.08348978030611201,0.2039056312830029,0.07556984533897106,0.22386197925026596,0.032946428571428626,0.6666666666666666,0.33333333333333337,0.9341666666666669
42,adni_to_nacc,metadata,complete,source_test,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,0.39176240883922825,0.8115384615384615,0.9307692307692308,0.8174603174603174,0.9230769230769231,0.7,0.8260869565217391,0.11592057988959059,0.08624654256779216,0.33333333333333337,0.6666666666666666,46,46,0.7991071428571428,0.931640625,0.7909553341230575,0.9107142857142857,0.6875,0.7916666666666666,0.12995260786667018,0.09334874699513118,0.4049586776859504,0.5950413223140496,46,120,0.6979326923076923,0.925,0.8284134615384616,0.9846153846153846,0.7000658811898778,0.9321867321867321,0.8076923076923077,1.0,0.5,0.9,0.717391304347826,0.9347826086956522,0.06766186303303894,0.17595497848586494,0.057717100296007504,0.1905936341684149,0.0,0.762857142857143,0.2371428571428573,1.0
42,adni_to_nacc,metadata_xda,complete,target,2,42,42,42,f6dfbd8126a812447905c3748c2fcdda2d69510c942135b29d0f03fab209b9c5,2433.2868910748307,0.5,0.5,0.4463667820069204,0.0,1.0,0.80625,0.19375,0.19374999999999998,0.0,0.5,960,960,0.5,0.5,0.443449575871819,0.0,1.0,0.7967823878069432,0.20321761219305673,0.20321761219305678,0.0,0.5,960,1181,0.5,0.5,0.5,0.5,0.4463667820069204,0.4463667820069204,0.0,0.0,1.0,1.0,0.80625,0.80625,0.19375,0.19375,0.19374999999999998,0.19374999999999998,0.0,0.0,0.5,0.5
