seed,direction,variant,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,n_subjects,loss,ba_ci_lo,ba_ci_hi,revision,config_hash,inference_path,valid_slots,valid_intervention_frac
42,adni_to_nacc,ce_x,0.8027423522547303,0.9051429524047678,0.799065324357153,0.6881720430107527,0.917312661498708,0.8729166666666667,0.09824835122627099,0.052100991682770346,960,0.3658488784190409,0.7733855338834709,0.8404064557806118,3,623490a51de0,,,0.0
42,adni_to_nacc,mixstyle_x,0.8209969158956405,0.9104081575949543,0.7904314757749669,0.7634408602150538,0.8785529715762274,0.85625,0.1168539556607311,0.09133181544020773,960,0.5165763130949791,0.7910482829040595,0.8510580770192547,3,623490a51de0,,,0.0
42,adni_to_nacc,apic_v3_x,0.79080186713345,0.9056986468839432,0.7855238855376996,0.6720430107526881,0.9095607235142119,0.8635416666666667,0.1003530944830282,0.052573321785570726,960,0.3575035041855817,0.7636633116612486,0.8179227098441277,3,623490a51de0,clean,8,1.0
42,nacc_to_adni,ce_x,0.7627155172413793,0.8767241379310344,0.7397349441508059,0.6379310344827587,0.8875,0.7397959183673469,0.18522895057329275,0.12010048356756167,196,0.6504058710554583,0.7055711206896551,0.8054364224137931,3,623490a51de0,,,0.0
42,nacc_to_adni,mixstyle_x,0.7588362068965517,0.8709051724137931,0.7394636015325671,0.6551724137931034,0.8625,0.7397959183673469,0.18064234505203655,0.128653115748751,196,0.6527222307569678,0.690280172413793,0.8015571120689655,3,623490a51de0,,,0.0
42,nacc_to_adni,apic_v3_x,0.7301724137931034,0.8950431034482759,0.698595146871009,0.5603448275862069,0.9,0.6989795918367347,0.2228175175052555,0.2034016898611472,196,0.9417640394411717,0.673001077586207,0.7748329741379311,3,623490a51de0,clean,8,1.0
43,adni_to_nacc,ce_x,0.6636450779361507,0.9171667916979245,0.7026097372364276,0.34408602150537637,0.9832041343669251,0.859375,0.10590108880741758,0.08141759578914678,960,0.40092517889540874,0.6301804617821122,0.7005480536800868,3,2148a6b5b5a5,,,0.0
43,adni_to_nacc,mixstyle_x,0.7615445528048679,0.854755355505543,0.7547104361436608,0.6290322580645161,0.8940568475452196,0.8427083333333333,0.11906714488305922,0.019788249421657828,960,0.40763529912457436,0.7227838209552389,0.7967220971909643,3,2148a6b5b5a5,,,0.0
43,adni_to_nacc,apic_v3_x,0.7861965491372843,0.8967519657692201,0.7982374768089054,0.6344086021505376,0.937984496124031,0.8791666666666667,0.10154035014938728,0.08321286057406631,960,0.5364447593034856,0.7533727181795449,0.8225603275818956,3,2148a6b5b5a5,clean,8,1.0
43,nacc_to_adni,ce_x,0.7976293103448275,0.9033405172413793,0.7842767295597484,0.7327586206896551,0.8625,0.7857142857142857,0.14957740051698368,0.10209362385034254,196,0.5430881894589115,0.7467672413793103,0.844229525862069,3,2148a6b5b5a5,,,0.0
43,nacc_to_adni,mixstyle_x,0.7269396551724138,0.9054956896551724,0.6803451178451179,0.49137931034482757,0.9625,0.6836734693877551,0.25846248313918113,0.23652980179544908,196,1.2577600801899704,0.6775377155172414,0.7744504310344827,3,2148a6b5b5a5,,,0.0
43,nacc_to_adni,apic_v3_x,0.6232758620689656,0.7795258620689655,0.5762944215965412,0.39655172413793105,0.85,0.5816326530612245,0.2580321124605371,0.19207970749485448,196,0.7273531027544303,0.5676023706896551,0.6741379310344828,3,2148a6b5b5a5,clean,8,1.0
