direction,seed,variant,status,best_epoch,target_ba,target_auc,target_sen,target_spe,target_brier,val_ba,val_auc,test_ba
ADNI_to_NACC,42,ie_capm_img,DONE,19,0.8463574226890056,0.9174932622044399,0.8387096774193549,0.8540051679586563,0.11549413505056007,0.8627717391304348,0.9211956521739131,0.8229166666666667
ADNI_to_NACC,42,ie_capm_force,DONE,38,0.8185588063682587,0.9268358756355756,0.7043010752688172,0.9328165374677002,0.08797515070780572,0.8505434782608696,0.9293478260869565,0.9166666666666667
ADNI_to_NACC,42,ie_capm,DONE,10,0.8507960323414187,0.9250020838542969,0.8010752688172043,0.900516795865633,0.09536780397481588,0.9157608695652174,0.9646739130434783,0.8229166666666667
ADNI_to_NACC,42,ie_capm_b2_force_eval,DONE,10,0.8507960323414187,0.9249881914923176,0.8010752688172043,0.900516795865633,0.09536915744935366,0.9157608695652174,0.9646739130434783,0.8229166666666667
ADNI_to_NACC,43,ie_capm_img,DONE,21,0.8122030507626907,0.906559973326665,0.7096774193548387,0.9147286821705426,0.0970060245658496,0.8627717391304348,0.9320652173913043,0.8020833333333333
ADNI_to_NACC,43,ie_capm_force,DONE,17,0.8321663749270651,0.9089077825011808,0.8064516129032258,0.8578811369509044,0.1189173851007307,0.8845108695652174,0.9402173913043479,0.8229166666666667
ADNI_to_NACC,43,ie_capm,DONE,21,0.8405434692006335,0.9103525881470368,0.8387096774193549,0.8423772609819121,0.1348889003594467,0.90625,0.9592391304347826,0.8541666666666667
ADNI_to_NACC,43,ie_capm_b2_force_eval,DONE,21,0.8405434692006335,0.9103456419660471,0.8387096774193549,0.8423772609819121,0.1348888709800227,0.90625,0.9592391304347826,0.8541666666666667
NACC_to_ADNI,42,ie_capm_img,DONE,40,0.8275862068965517,0.9145474137931036,0.9051724137931034,0.75,0.11948485793063994,0.8576285963382737,0.9171752397558849,0.8705318221447254
NACC_to_ADNI,42,ie_capm_force,DONE,22,0.7364224137931035,0.899353448275862,0.5603448275862069,0.9125,0.24066517498068812,0.8596338273757629,0.9243243243243242,0.9304272013949433
NACC_to_ADNI,42,ie_capm,MISSING,,,,,,,,,
NACC_to_ADNI,42,ie_capm_b2_force_eval,MISSING,,,,,,,,,
NACC_to_ADNI,43,ie_capm_img,MISSING,,,,,,,,,
NACC_to_ADNI,43,ie_capm_force,MISSING,,,,,,,,,
NACC_to_ADNI,43,ie_capm,MISSING,,,,,,,,,
NACC_to_ADNI,43,ie_capm_b2_force_eval,MISSING,,,,,,,,,
