direction,seed,variant,stage,gate_mean,gate_std,raw_abs,eff_abs
ADNI_to_NACC,42,ie_capm_force,layer1,1.0,0.0,0.0005540359097722103,0.0005540359097722103
ADNI_to_NACC,42,ie_capm_force,layer2,1.0,0.0,0.0005329126843207632,0.0005329126843207632
ADNI_to_NACC,42,ie_capm_force,layer3,0.9999999403953552,0.00024414061772404228,0.003044230012164917,0.003044230012164917
ADNI_to_NACC,42,ie_capm_force,layer4,1.0,0.0,1.4549728120982763e-05,1.4549728120982763e-05
ADNI_to_NACC,42,ie_capm,layer1,0.9937988445162773,0.005277157132280288,0.00017725358929965296,0.00017619503978494322
ADNI_to_NACC,42,ie_capm,layer2,0.9935436826199293,0.002889373157155959,0.00015292029092961457,0.00015193491208265186
ADNI_to_NACC,42,ie_capm,layer3,0.9941775631159544,0.001116844974578599,0.00042544357347651385,0.00042298577591282083
ADNI_to_NACC,42,ie_capm,layer4,0.9951085094362497,0.0012316869745467771,4.286446682044698e-07,4.2665256394514017e-07
ADNI_to_NACC,43,ie_capm_force,layer1,1.0,0.0,0.00036306129049989977,0.00036306129049989977
ADNI_to_NACC,43,ie_capm_force,layer2,1.0,0.0,0.0008815222226985497,0.0008815222226985497
ADNI_to_NACC,43,ie_capm_force,layer3,0.9999999403953552,0.00024414061772404228,0.00236750934709562,0.00236750934709562
ADNI_to_NACC,43,ie_capm_force,layer4,1.0,0.0,2.0999136324917345e-05,2.0999136324917345e-05
ADNI_to_NACC,43,ie_capm,layer1,0.9975977726280689,0.0021305033570854425,0.00041882928508130135,0.0004178558315288683
ADNI_to_NACC,43,ie_capm,layer2,0.9968934990465641,0.0017387033736906267,0.000513333169692487,0.0005119154211570276
ADNI_to_NACC,43,ie_capm,layer3,0.997412633150816,0.0007707549913546362,0.000430365682404954,0.0004292733383408631
ADNI_to_NACC,43,ie_capm,layer4,0.9961393177509308,0.0012641869299704676,7.265525852062638e-07,7.237259564973897e-07
NACC_to_ADNI,42,ie_capm_force,layer1,1.0,0.0,0.010521829019126017,0.010521829019126017
NACC_to_ADNI,42,ie_capm_force,layer2,1.0,0.0,0.005923839478782611,0.005923839478782611
NACC_to_ADNI,42,ie_capm_force,layer3,0.9999999403953552,0.00024414061772404228,0.01263085418031551,0.01263085418031551
NACC_to_ADNI,42,ie_capm_force,layer4,1.0,0.0,1.3555265638842684e-05,1.3555265638842684e-05
